Word,Part of Speech,Definition,Grammar information:
uppeyah,verb,"to become dusk, to be evening",stative
ũpuhúlumu',noun,"cover, lid",
ũpuhúmuh,verb,"to cover (a car, a pot, a house)",transitive
upũkuyuh,verb,"to look around, behold",intransitive
upuksah,verb,"sober; humble; wise
to be sober, transformed (spiritually), rehabilitated, domesticated (of an animal), tamed; 
to be wise (also upukseya)",stative
upuksaleh,verb,to discipline (a child),transitive
upuksatceh,verb,to tame (an animal),transitive
upúlhah,verb,"to be comforted, calmed down (after crying), consoled",stative
upúlhatceh,verb,"to comfort, soothe (someone), console",transitive
upúni',noun,"cook, chef",
upúnih,verb,to cook (general term),transitive
usã',noun,otter,
usápa',noun,"field (cultivated or uncultivated, fenced or unfenced), a lot, a cornfield",
usápa' áduksale',noun,"farmer, field hand, planter, gardener",
usápa' use',noun,"small field, garden",
use',noun,"son, interest (on a loan)",
úse',noun,bird,
úse' apésatce',noun,bird watcher,
úse' balbaha',noun,mockingbird (also use balbaha),
úse' ése',noun,bird feather,
useh,verb,to be small,stative
uskap,noun,small white crane,
uske',noun,river cane,
uske' nake',noun,arrow,
usmeh,verb,"to burn slowly, smolder, sear (older word)",transitive
ũssah,verb,"to shoot (a gun, an arrow), shoot at (a target)",transitive
ussatu',noun,womb,
ũsse',noun,eagle,
usseh,verb,"to pound, beat (dried corn in a mortar)",transitive
ũsseni',noun,bumblebee,
ustah,verb,to be four,stative
usũa',noun,urine,
usũa' sáhale',noun,diabetes,
usũah,verb,to urinate,intransitive
usũte',noun,cloud,
usũteh,verb,to be cloudy (of the sky),intransitive
usũteka',noun,"shade, a shadow (also usẽteka)",
ũt áyalhlhe',noun,"the end, ending, edge",
utcéfuh,verb,"to name (someone), call (someone) by name; to read (a book, etc.)",transitive
utcéfutceh,verb,"to cause to name or read; to name or give a name to (a child, animal, etc.)",transitive
utcétuh,verb,"big (of two or more), large, great, huge","stative, plural"
utcúah,verb,"to feel cold
(Utcúwa is used to describe one's own overall body temperature;
Kapassa is for describing something else, like the weather, coffee, etc., or one's hands.)",stative
utcukbe',noun,"underground,",
útcúkumah,verb,"to be good (of two or more), nice, excellent, pleasant","stative, plural"
ũtculúleh,verb,"offshoots, sprout (of a plant), increase",intransitive
úteh,verb,"to start (a fire), kindle, light or strike a fire",transitive
utelhku',noun,cough,
utelhkuh,verb,"to cough, have a cough or cold",stative
uténah,verb,"to count, number, calculate, total",transitive
uttupa',noun,"pain, a hurt, an ache",
uttupah,verb,"to be hurt, be in pain, be sore, to hurt",stative
uttupáleh,verb,"to hurt, injure, wound (someone) (also uttupátce)",transitive
utũte',noun,frost,
uyuh,verb,"to search for, look for (something), seek, hunt for",transitive
uyya',noun,drop,
uyyah,verb,"to drip, seep (of water, etc.), filter, strain",intransitive
wáhanúta',noun,yard,
waka',noun,cow,
waka' apésatce',noun,cowboy,
waka' ayéna',noun,"cow, old cow",
waka' bela',noun,"rendered beef fat, beef lard, tallow",
waka' dék,noun,"cow, female cattle",
waka' duksale',noun,ox,
waka' ennutce',noun,"yoke, collar",
waka' nákani',noun,bull,
waka' nipe',noun,beef,
waka' niya',noun,"beef fat, tallow",
waka' pesuktce',noun,cow's milk,
waka' ubak,noun,steer,
waka' use',noun,calf (young cow),
wakámah,verb,"to be open (of the earth, a wound, a space between tables), spread out",stative
wakammeh,verb,"to open (a container, the eyes)",transitive
wakáyah,verb,"(one) to get up (from a sitting position), rise (to one's feet)",intransitive
wakáyatceh,verb,"to raise, lift (something), help (someone) get to their feet, start (a church)",transitive
wakáyuhah,verb,"(two or more) to rise, get up","intransitive, plural"
wakéleh,verb,"to raise, lift (something)",transitive
wakéletceh,verb,"to revive (a church, etc), establish (an organization)",transitive
waktcaláleh,verb,"to straddle, have the legs sprawled, spread",intransitive
waláha',noun,"clot (of blood, etc)",
waláhah,verb,"clotted (of blood), clabbered (of milk)",stative
walakse',noun,dumplings (traditionally made with fruits or meat),
wáleh,verb,"to extend (the hand, etc), hold out, offer, hand to others ","transitive, singular"
walhalleh,verb,"to boil (of water, coffee, etc)",stative
walhalletceh,verb,"to boil (of water, coffee, etc)",transitive
walhána',noun,horse fly,
walhpélah,verb,"to back up, go backwards",intransitive
walúhah,verb,"to be tender, soft, young (of beans, shoots, etc)",stative
waluhbeh,verb,"supple, flexible, tender, limber, pliant",stative
wannitceh,verb,"to shiver (from cold), shake (from fear), tremble",intransitive
wása',noun,large type of locust,
waskabe',noun,mange;,
wassánah,verb,"to buck, kick with the hind legs",intransitive
wasúhah,verb,"to play (with a ball, a toy, etc), play (a piano)",intransitive
wasúhatceh,verb,"to get (someone) to play (games, etc)",transitive
watũla',noun,crane,
wáya',noun,"peanuts,",
wáya' bahpu',noun,peanut butter (old word),
wáya' bela',noun,peanut oil,
wáyah,verb,"to bear (fruit), produce (of a plant), ripen, to yield",intransitive
wáyatceh,verb,"to raise (crops, animals), grow (crops)",transitive
wayyah,verb," to be leaning, bent over, reclined, swag, sway","intransitive, singular"
wehah,verb,"to move (to a new dwelling), migrate (of animals)",intransitive
wehátce',noun,professional mover,(new word)
wehátceh,verb,to move (someone to a new dwelling),transitive
wéheleh,verb,"to take (old term), rob, pillage, despoil",transitive
wehpuleh,verb,"to rob, take possessions from, plunder, deprive",transitive
wéke',noun,weight;,
wéke' tcaffa',noun,one pound,
wékeh,verb,"worker on a ship, sailor, crewman, boatman, etc",stative
wéketce',noun,"someone who weighs (cotton, etc);",
wéketceh,verb,to weigh (something),transitive
wéleh,verb,"to extend (the hands, etc), hold out, offer (plural)",transitive
wenákatceh,verb,"to rock, shake (like an earthquake)",transitive
wenákatceh,verb,"to shake, rock (of the ground, the car in a gust of wind, etc)",intransitive
wenáletceh,verb,"to shake, rock (a bed, rock a baby, etc)",transitive
wesaktce',noun,"end (of an object), point, tip",
wẽste',noun,Wednesday,
wúhah,verb,"to moo (of a cow), howl, bay (of a dog), roar (of a lion), to honk (of a car), toot (of a train)",intransitive
wúhatceh,verb,to honk (a car horn),transitive
wúhelétceh,verb,to bark at,transitive
wuhwah,verb,"to bark (of a dog), howl, yelp",intransitive
wulhku',noun,blister,
wulhkuh,verb,to be blistered (of a body part),stative
wunuksuh,verb,"to be fluffy, woolly, fuzzy, hairy, kinky (of fur or hair)",intransitive
yãha',noun,fever,
yãhah,verb,"to have a fever, be feverish",stative
yáhalétce,verb,to be itchy,stative
yákamehtce,verb,to do it this way,intransitive
yákani',noun,"land, earth, ground, country, nation, world",
yákani' alhpesa',noun,"plot, section of land",
yákani' bela',noun,"gasoline, oil (from the ground)",
yákani' dalhkatce',noun,islands,
yákani' dasáya',noun,island,
yákani' estalhpesa' ulessu',noun,map (new word),
yákani' estpatáfa',noun,plow,
yákani' fue',noun,yellow jacket,
yákani' kãtce',noun,"realtor, real estate agent (new word)",
yákani' kula',noun,"earth that has been dug out, a mine, cellar, ditch, etc",
yákani' patassa',noun,"flat land, level land",
yákani' tceluk,noun,"hollow, hole in the ground, pit, cave",
yákani' wenákatce',noun,earthquake,
yakúhemeh,verb,to be like this,stative
yakúkeh,verb,to thank,transitive
yala',noun,grub worm,
yalhke',noun,"feces, excrement, manure",
yalhke' tunútce',noun,"tumble bug, dung beetle",
yalúba',noun,tadpole,
yamaskah,verb,"kneaded (of dough); to be kneaded (of dough, concrete, etc.)",stative
yamasleh,verb,"to knead (dough, etc)",transitive
yamma',noun,"dem. that, those",
yammeh,verb,to be seasoned,stative
yammetceh,verb,to season,transitive
yamúhemeh,verb,to be like that,stative
yamúmehtceh,verb,to do it like that,intransitive
yanalleh,verb,"flowing (of water), runny (of a nose); to flow, run (of a creek, water), be runny (of one's nose)",intransitive
yanas,noun,"buffalo, bison",
yanas nipe',noun,buffalo meat,
yãpa',noun,"plate, bowl, dish",
yãyã',noun,mourner;,
yãyãh,verb,"to cry (of a baby, child, etc)",intransitive
yekũah,verb,"wrinkled (of clothes, a face, etc)",stative
yekũfah,verb,furrowed (of the brow),
yekuffa',noun,gnats,
yelhépah,verb,(three or more) to run,"intransitive, triplural"
yemétah,verb,"to be frisky, energetic, active, vigorous, eager, industrious, animated, lively",stative
yemmeh,verb,to believe,stative
yuálah,verb,"to be nauseated, disgusting, sick to the stomach, offensive, odious",stative
yuhableh,verb,to loosen,transitive
yuhabletceh,verb,"to loosen (a jar lid, screw, etc), cause to loosen",transitive
yuhápah,verb,"to be loose, slack (of a bolt, screw, elastic on pants, etc)",intransitive
yuhbetceh,verb,"to make mild, soften (one's heart)",transitive
yúhemeh,verb,"to do so, be thus, so",stative
yuhtcunúleh,verb,to bow (the head),intransitive
yuka',noun,"a slave, prisoner, a captive;",
yukah,verb,"to be imprisoned, enslaved, captured",stative
yukakeyu',noun,"freedom, liberty;",
yukakeyuh,verb,to be free (not a slave),stative
yukátceh,verb,"to capture, trap, catch (a person or animal)",transitive
yukpah,verb,"to smile, laugh",intransitive
yukpatceh,verb,to make (someone) laugh or smile,transitive
yukúpah,verb,"to stop, halt, quit, come to a stop",intransitive
yukúpatceh,verb,"to make (a car, etc) stop",transitive
yulhkũ',noun,mole (the animal),
yulhkũ' tcetu',noun,elephant,
yululleh,verb,"to crawl under (a fence, barbed wire, house, etc), go through, go under (an overhang)",intransitive
yupeh,verb,"to bathe, take a bath, to swim, wallow in sand or mud",intransitive
yúpesa',noun,"observer, bystander, spectator",
yúpesah,verb,"to look around, explore, check things out, observe, spectate, watch a sports event",intransitive
yúpulah,verb,"to joke, make fun",intransitive
yusbunúleh,verb,curly-headed,stative
yuskubúleh,verb,round-headed,stative
yuskulúleh,verb,short (of an object- not a distance); to be short (of an object- not a distance),stative
yusmeláleh,verb,"bald, having the hair very short",stative
yusúbah,verb,"to be lost, gone astray",stative
yusubleh,verb,"to confuse (someone), decieve, misguide",transitive
yuswetcáleh,verb,"to have unruly or messy hair, to be tangled",stative
ale,interjection,"ouch, ow",
aléhu,interjection,"oh (said when groaning, as when an old person gets up from sitting)",
aletu,interjection,hello,
ayyah,interjection,my goodness,
ehã?,interjection,was that right? (derived from yuhme hã?),
ehũ?,interjection,is that so? is that right? (from yuhme hũ?) (also mehũ?),
ẽtá,interjection,"now, well, okay (older word)",
kéhe,interjection,aha,
kuh,interjection,"expression of dissatisfaction or surprise: oh my, my goodness",
mã,interjection,Look out,
seyu,interjection,phew,
úé,interjection,expression of surprise,
umé,interjection,okay,
yaka,interjection,look out,
yakéh,interjection,look! behold,
yakuke,interjection,thank you,
ét,particle,,a marker appearing before a verb and indicating direction toward the speaker
keyu,particle,"not, no",
metca,conjunction,and,
pet,particle,,a marker appearing before a verb and indicating direction away from the speaker
pulãkah,verb,"finally, at last",stative
ũt,particle,,a marker appearing before a verb and meaning 'go and (do something)'
ãt,particle,,a marker appearing before a verb and meaning 'come and (do something)'
ã,particle,yes,
eláyak,noun,"goods, merchandise, wares, treasure",
